timestamp,width,height,streamBandwidth,estimatedBandwidth,loadLatency,manifestTimeSeconds,playTime,pauseTime,bufferingTime
1587246179.498,1280,720,1761659,5300000,null,0.039999961853027344,0,0,0.07899999618530273
1587246179.509,1280,720,1761659,211875375,null,0.039999961853027344,0,0,0.08999991416931152
1587246179.555,1920,1080,115176034,277289577.8345451,null,0.039999961853027344,0,0,0.13700008392333984
1587246179.577,1920,1080,115176034,277289577.8345451,null,0.039999961853027344,0,0,0.15899991989135742
1587246179.593,1920,1080,115176034,322022714.5173009,null,0.039999961853027344,0,0,0.17499995231628418
1587246179.627,1920,1080,115176034,399515077.82749,0.2559998035430908,0.039999961853027344,0,0,0.2090001106262207
1587246179.665,1920,1080,115176034,470511105.0644466,0.2559998035430908,0.039999961853027344,0,0,0.24699997901916504
1587246179.718,1920,1080,115176034,503547061.38798064,0.2559998035430908,0.039999961853027344,0,0,0.2999999523162842
1587246179.767,1920,1080,115176034,479177145.0223916,0.2559998035430908,0.039999961853027344,0,0.03600001335144043,0.312999963760376
1587246179.88,1920,1080,115176034,387960542.22071594,0.2559998035430908,0.039999961853027344,0,0.1490001678466797,0.312999963760376
1587246179.929,1920,1080,115176034,402006260.5426398,0.2559998035430908,0.039999961853027344,0,0.1979999542236328,0.312999963760376
1587246179.992,1920,1080,115176034,420074468.8604591,0.2559998035430908,0.039999961853027344,0,0.2610001564025879,0.312999963760376
1587246180.052,1920,1080,115176034,418331239.52801675,0.2559998035430908,0.039999961853027344,0,0.3210000991821289,0.312999963760376
1587246180.1,1920,1080,115176034,430950392.63551056,0.2559998035430908,0.039999961853027344,0,0.3689999580383301,0.312999963760376
1587246180.187,1920,1080,115176034,429873526.74662894,0.2559998035430908,0.039999961853027344,0,0.45600008964538574,0.312999963760376
1587246180.244,1920,1080,115176034,425098064.7327161,0.2559998035430908,0.039999961853027344,0,0.5130000114440918,0.312999963760376
1587246187.342,1920,1080,115176034,412353968.8615547,0.2559998035430908,0.039999961853027344,4.454999923706055,3.1560001373291016,0.312999963760376
1587246193.488,1920,1080,115176034,373622967.5970352,0.2559998035430908,0.039999961853027344,10.60099983215332,3.1560001373291016,0.312999963760376
1587246199.077,1920,1080,115176034,380813703.2129649,0.2559998035430908,0.039999961853027344,16.18999981880188,3.1560001373291016,0.312999963760376
1587246205.199,1920,1080,115176034,374006106.79066485,0.2559998035430908,0.039999961853027344,22.310999870300293,3.1560001373291016,0.312999963760376
1587246211.307,1920,1080,115176034,366948462.4843444,0.2559998035430908,0.039999961853027344,28.419999837875366,3.1560001373291016,0.312999963760376
1587246217.424,1920,1080,115176034,355689781.9767079,0.2559998035430908,0.039999961853027344,34.53699994087219,3.1560001373291016,0.312999963760376
1587246223.007,1920,1080,115176034,352060065.5714734,0.2559998035430908,0.039999961853027344,40.11999988555908,3.1560001373291016,0.312999963760376
1587246231.186,1920,1080,45006034,74055033.54927132,0.2559998035430908,0.039999961853027344,48.29900002479553,3.1560001373291016,0.312999963760376
1587246231.229,1920,1080,45006034,80358805.43029483,0.2559998035430908,0.039999961853027344,48.342000007629395,3.1560001373291016,0.312999963760376
1587246235.392,1920,1080,45006034,86691791.87930417,0.2559998035430908,0.039999961853027344,52.50499987602234,3.1560001373291016,0.312999963760376
1587246244.8,1280,720,1761659,20603074.319066063,0.2559998035430908,0.039999961853027344,61.912999868392944,3.1560001373291016,0.312999963760376
1587246273.845,640,360,380890,409531.04753955314,0.2559998035430908,0.039999961853027344,90.95799994468689,3.1560001373291016,0.312999963760376
1587246273.878,640,360,380890,409531.04753955314,0.2559998035430908,0.039999961853027344,90.9909999370575,3.1560001373291016,0.312999963760376
1587246273.918,640,360,380890,1645355.039972458,0.2559998035430908,0.039999961853027344,91.03099989891052,3.1560001373291016,0.312999963760376
1587246273.961,640,360,380890,2269371.500465286,0.2559998035430908,0.039999961853027344,91.07399988174438,3.1560001373291016,0.312999963760376
1587246273.986,640,360,380890,2992461.764624204,0.2559998035430908,0.039999961853027344,91.09899997711182,3.1560001373291016,0.312999963760376
1587246274.008,640,360,380890,3959425.89554965,0.2559998035430908,0.039999961853027344,91.12099981307983,3.1560001373291016,0.312999963760376
1587246274.02,640,360,380890,4306472.783848428,0.2559998035430908,0.039999961853027344,91.13299989700317,3.1560001373291016,0.312999963760376
